epoch,step,train_loss_epoch,train_loss_step,val_loss
84,4229,,6.4259843826293945,
84,4239,,3.0561187267303467,
84,4249,,1.8244785070419312,
84,4249,,,3.839474678039551
84,4249,3.3964245319366455,,
85,4259,,2.7544257640838623,
85,4269,,3.6740405559539795,
85,4279,,6.4259843826293945,
85,4289,,3.0561187267303467,
85,4299,,1.8244785070419312,
85,4299,,,3.839474678039551
85,4299,3.3964245319366455,,
86,4309,,2.7544257640838623,
86,4319,,3.6740405559539795,
86,4329,,6.4259843826293945,
86,4339,,3.0561187267303467,
86,4349,,1.8244785070419312,
86,4349,,,3.839474678039551
86,4349,3.3964245319366455,,
87,4359,,2.7544257640838623,
87,4369,,3.6740405559539795,
87,4379,,6.4259843826293945,
87,4389,,3.0561187267303467,
87,4399,,1.8244785070419312,
87,4399,,,3.839474678039551
87,4399,3.3964245319366455,,
88,4409,,2.7544257640838623,
88,4419,,3.6740405559539795,
88,4429,,6.4259843826293945,
88,4439,,3.0561187267303467,
88,4449,,1.8244785070419312,
88,4449,,,3.839474678039551
88,4449,3.3964245319366455,,
89,4459,,2.7544257640838623,
89,4469,,3.6740405559539795,
89,4479,,6.4259843826293945,
89,4489,,3.0561187267303467,
89,4499,,1.8244785070419312,
89,4499,,,3.839474678039551
89,4499,3.3964245319366455,,
90,4509,,2.7544257640838623,
90,4519,,3.6740405559539795,
90,4529,,6.4259843826293945,
90,4539,,3.0561187267303467,
90,4549,,1.8244785070419312,
90,4549,,,3.839474678039551
90,4549,3.3964245319366455,,
91,4559,,2.7544257640838623,
91,4569,,3.6740405559539795,
91,4579,,6.4259843826293945,
91,4589,,3.0561187267303467,
91,4599,,1.8244785070419312,
91,4599,,,3.839474678039551
91,4599,3.3964245319366455,,
92,4609,,2.7544257640838623,
92,4619,,3.6740405559539795,
92,4629,,6.4259843826293945,
92,4639,,3.0561187267303467,
92,4649,,1.8244785070419312,
92,4649,,,3.839474678039551
92,4649,3.3964245319366455,,
93,4659,,2.7544257640838623,
93,4669,,3.6740405559539795,
93,4679,,6.4259843826293945,
93,4689,,3.0561187267303467,
93,4699,,1.8244785070419312,
93,4699,,,3.839474678039551
93,4699,3.3964245319366455,,
94,4709,,2.7544257640838623,
94,4719,,3.6740405559539795,
94,4729,,6.4259843826293945,
94,4739,,3.0561187267303467,
94,4749,,1.8244785070419312,
94,4749,,,3.839474678039551
94,4749,3.3964245319366455,,
95,4759,,2.7544257640838623,
95,4769,,3.6740405559539795,
95,4779,,6.4259843826293945,
95,4789,,3.0561187267303467,
95,4799,,1.8244785070419312,
95,4799,,,3.839474678039551
95,4799,3.3964245319366455,,
96,4809,,2.7544257640838623,
96,4819,,3.6740405559539795,
